Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::find	0.242747	0.242747	0.0	0.0	31200000	3.7	3.7	27.102601	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::find(unsigned long const&)	hashtable.h	0x18a0
func@0xab0	0.111343	0.111343	0.0	0.0	587600000	52.2	52.2	0.659997	[vdso]	func@0xab0	[Unknown]	0xab0
std::__unguarded_partition<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter>	0.098303	0.098303	0.0	0.0	322400000	22.3	22.3	1.062180	orderbook_bench	std::__unguarded_partition<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter)	stl_algo.h	0x1a77
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_find_before_node	0.080247	0.080247	0.0	0.0	91000000	11.8	11.8	3.072392	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_find_before_node(unsigned long, unsigned long const&, unsigned long) const	hashtable.h	0x2c29
[vmlinux]	0.061188	0.061188	0.0	0.0	135200000	21.8	21.8	1.576305	vmlinux	[vmlinux]	[Unknown]	0x0
benchmark_orderbook<OrderBookMap>	0.052161	0.052161	0.0	0.0	143000000	14.9	14.9	1.270469	orderbook_bench	benchmark_orderbook<OrderBookMap>(long)	orderbook_bench.cpp	0x35a0
std::__detail::_Mod_range_hashing::operator()	0.045139	0.045139	0.0	0.0	18200000	2.9	2.9	8.635177	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x2b2c
std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::operator[]	0.040123	0.040123	0.0	0.0	39000000	6.4	6.4	3.578101	orderbook_bench	std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::operator[](unsigned int const&)	stl_map.h	0x3b1b
malloc_consolidate	0.037114	0.037114	0.0	0.0	44200000	11.6	11.6	2.923280	libc.so.6	malloc_consolidate	malloc.c	0xa9bb0
std::__detail::_Mod_range_hashing::operator()	0.037114	0.037114	0.0	0.0	18200000	4.6	4.6	7.105741	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x19ad
